[2024-04-08T03:46:03.937+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [queued]>
[2024-04-08T03:46:03.956+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [queued]>
[2024-04-08T03:46:03.957+0000] {taskinstance.py:2193} INFO - Starting attempt 13 of 13
[2024-04-08T03:46:03.983+0000] {taskinstance.py:2217} INFO - Executing <Task(_PythonDecoratedOperator): extract_real_estates> on 2024-04-06 00:00:00+00:00
[2024-04-08T03:46:03.998+0000] {standard_task_runner.py:60} INFO - Started process 78045 to run task
[2024-04-08T03:46:04.005+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'real_estates', 'extract_real_estates', 'scheduled__2024-04-06T00:00:00+00:00', '--job-id', '296', '--raw', '--subdir', 'DAGS_FOLDER/real_estates/__init__.py', '--cfg-path', '/tmp/tmpze2go1n0']
[2024-04-08T03:46:04.011+0000] {standard_task_runner.py:88} INFO - Job 296: Subtask extract_real_estates
[2024-04-08T03:47:52.593+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000179/ format type 1
[2024-04-08T03:47:53.039+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17079330002432/ format type 1
[2024-04-08T03:47:53.458+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17078050000215/ format type 1
[2024-04-08T03:47:54.308+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011390/ format type 1
[2024-04-08T03:47:54.625+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024711/ format type 1
[2024-04-08T03:47:54.919+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17012640000071/ format type 1
[2024-04-08T03:47:55.251+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024726/ format type 1
[2024-04-08T03:47:55.596+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000158/ format type 1
[2024-04-08T03:47:55.949+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17066990000448/ format type 1
[2024-04-08T03:47:56.313+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17073770001385/ format type 1
